Date,Temp,Pres,Volt
2021-May-25 16:48,14.34,99.99,4.071
2021-May-25 16:57,14.34,99.99,4.071
2021-May-25 16:59,14.34,99.99,4.071
2021-May-25 17:12,14.34,99.99,4.071
2021-May-27 06:25,9.21,101.597,4.055
2021-May-27 06:26,9.21,101.597,4.055
2021-May-27 06:26,9.21,101.597,4.055
2021-May-27 06:27,9.21,101.597,4.055
2021-May-27 06:27,9.21,101.597,4.055
2021-May-27 06:27,9.21,101.597,4.055
2021-Jun-08 15:41,16.02,99.558,4.064
2021-Jun-08 16:36,14.76,99.627,4.066
2021-Jun-08 16:39,14.76,99.627,4.066
2021-Jun-08 16:57,10.99,99.694,4.068
2021-Jun-09 09:38,7.74,100.189,4.068
2021-Jun-09 11:19,11.85,100.162,4.068
2021-Jun-09 11:20,11.85,100.162,4.068
2021-Jun-09 11:55,10.53,100.123,4.07
2021-Jun-09 11:56,10.53,100.123,4.07
2021-Jun-09 12:45,10.55,99.98,4.062
2021-Jun-09 12:51,10.55,99.98,4.062
2021-Jun-09 14:03,12.03,99.972,4.066
2021-Jun-15 16:24,17.31,100.558,4.064
2021-Jun-15 17:22,14.49,100.587,4.06
2021-Jun-15 18:22,12.96,100.61,4.063
2021-Jun-15 19:22,12.3,100.656,4.059
2021-Jun-15 20:22,12.79,100.646,4.066
2021-Jun-15 21:22,12.69,100.63,4.062
2021-Jun-15 22:22,12.01,100.604,4.063
2021-Jun-15 23:22,11.36,100.569,4.061
2021-Jun-16 00:22,11.06,100.535,4.059
2021-Jun-16 01:22,11.78,100.47,4.066
2021-Jun-16 02:22,12.14,100.421,4.059
2021-Jun-16 03:22,12.23,100.364,4.06
2021-Jun-16 04:22,12.6,100.285,4.063
2021-Jun-16 05:22,12.04,100.257,4.056
2021-Jun-16 06:22,12.31,100.339,4.063
2021-Jun-16 07:22,10.98,100.275,4.062
2021-Jun-16 08:22,11.08,100.295,4.068
2021-Jun-16 09:22,11.57,100.269,4.063
2021-Jun-16 10:22,15.54,100.192,4.063
2021-Jun-16 11:22,18.23,100.157,4.066
2021-Jun-16 12:22,17.29,100.108,4.061
2021-Jun-16 13:22,17.3,100.042,4.067
2021-Jun-16 14:22,18.91,99.983,4.067
2021-Jun-16 15:22,19.81,99.967,4.065
2021-Jun-16 16:22,19.05,99.933,4.06
2021-Jun-16 17:22,14.42,99.968,4.061
2021-Jun-16 18:22,11.47,100,4.067
2021-Jun-16 19:22,10.07,100.024,4.06
2021-Jun-16 20:22,8.35,100.055,4.066
2021-Jun-16 21:22,7.23,100.069,4.062
2021-Jun-16 22:22,7.96,100.055,4.063
2021-Jun-16 23:22,8.95,100.032,4.048
2021-Jun-17 00:22,9.53,100.048,4.061
2021-Jun-17 01:22,9.25,100.028,4.065
2021-Jun-17 02:22,9.42,99.997,4.065
2021-Jun-17 03:22,8.55,99.992,4.049
2021-Jun-17 04:22,7.16,99.991,4.064
2021-Jun-17 05:22,7.14,100.012,4.069
2021-Jun-17 05:57,6.6,100.053,4.066
2021-Jun-17 06:22,6.6,100.053,4.066
2021-Jun-17 07:22,7.25,100.091,4.062
2021-Jun-17 08:22,8.29,100.12,4.059
2021-Jun-17 09:22,9.58,100.161,4.065
2021-Jun-17 10:22,0,0,4.065
2021-Jun-17 11:22,14.91,100.19,4.062
2021-Jun-17 12:22,20.34,100.13,4.067
2021-Jun-17 14:05,17.68,100.024,4.062
2021-Jun-17 15:05,15.14,100.007,4.064
2021-Jun-17 16:05,14.62,100.029,4.063
2021-Jun-17 17:05,12.42,100.073,4.061
2021-Jun-17 18:05,11.32,100.111,4.056
2021-Jun-17 19:05,10.91,100.143,4.064
2021-Jun-17 20:05,9.77,100.168,4.057
2021-Jun-17 21:05,7.41,100.184,4.064
2021-Jun-17 22:05,6.71,100.199,4.065
2021-Jun-17 23:05,6.27,100.191,4.061
2021-Jun-18 00:05,6.31,100.217,4.062
2021-Jun-18 01:05,7.45,100.2,4.063
2021-Jun-18 02:05,7.06,100.174,4.065
2021-Jun-18 03:05,7.19,100.172,4.065
2021-Jun-18 04:05,5.87,100.198,4.063
2021-Jun-18 05:05,5.89,100.221,4.063
2021-Jun-18 06:05,5.85,100.269,4.063
2021-Jun-18 07:05,7.01,100.318,4.064
2021-Jun-18 08:05,7.91,100.341,4.06
2021-Jun-18 09:05,9.08,100.394,4.061
2021-Jun-18 10:05,10.87,100.411,4.059
2021-Jun-18 11:05,11.93,100.471,4.066
2021-Jun-18 12:05,13.21,100.437,4.067
2021-Jun-18 13:05,17,100.408,4.06
2021-Jun-18 14:05,16.07,100.413,4.063
2021-Jun-18 15:05,17.52,100.473,4.067
2021-Jun-18 16:05,13.86,100.577,4.064
2021-Jun-18 17:05,13.12,100.665,4.065
2021-Jun-18 18:05,12.47,100.734,4.053
2021-Jun-18 19:05,12.27,100.842,4.064
2021-Jun-18 20:05,11.94,100.93,4.059
2021-Jun-18 21:05,12.14,100.999,4.064
2021-Jun-18 22:05,12.11,101.07,4.065
2021-Jun-18 23:05,11.33,101.089,4.063
2021-Jun-19 00:05,10,101.114,4.059
2021-Jun-19 01:05,9.6,101.091,4.063
2021-Jun-19 02:05,8.99,101.148,4.061
2021-Jun-19 03:05,10.12,101.177,4.059
2021-Jun-19 04:05,10.57,101.171,4.063
2021-Jun-19 05:05,10.37,101.204,4.064
2021-Jun-19 06:05,10.39,101.285,4.057
2021-Jun-19 07:05,11.05,101.367,4.063
2021-Jun-19 08:05,11.43,101.441,4.059
2021-Jun-19 09:05,11.69,101.505,4.06
2021-Jun-19 10:05,17.76,101.561,4.062
2021-Jun-19 11:05,0,0,4.065
2021-Jun-19 12:05,20.47,101.63,4.063
2021-Jun-19 13:05,22.07,101.582,4.062
2021-Jun-19 14:05,26.01,101.555,4.062
2021-Jun-19 15:05,21.2,101.572,4.062
2021-Jun-19 16:05,21.2,101.57,4.048
2021-Jun-19 17:05,0,0,4.061
2021-Jun-19 18:05,12.53,101.634,4.063
2021-Jun-19 19:05,10.23,101.682,4.063
2021-Jun-19 20:05,9.25,101.745,4.062
2021-Jun-19 21:05,8.55,101.784,4.062
2021-Jun-19 22:05,8.73,101.798,4.059
2021-Jun-19 23:05,7.59,101.816,4.059
2021-Jun-20 00:05,7.06,101.841,4.063
2021-Jun-20 01:05,5.55,101.837,4.067
2021-Jun-20 02:05,5,101.809,4.063
2021-Jun-20 03:05,3.98,101.795,4.063
2021-Jun-20 04:05,3.35,101.775,4.065
2021-Jun-20 05:05,2.12,101.731,4.062
2021-Jun-20 06:05,2.98,101.745,4.06
2021-Jun-20 07:05,2.79,101.792,4.055
2021-Jun-20 08:05,2.43,101.837,4.057
2021-Jun-20 09:05,3.67,101.884,4.063
2021-Jun-20 10:05,13.49,101.882,4.061
2021-Jun-20 11:05,12.51,101.878,4.063
2021-Jun-20 12:05,22.08,101.802,4.059
2021-Jun-20 13:05,27.11,101.749,4.059
